Date,SKU,ChannelID,StatForecastUnits,SalesForecastUnits,ConsensusForecastUnits,ActualUnits
2025-06-01,V-CIT-24,CH-RET,83682,90733,87913,83306
2025-06-01,V-CIT-24,CH-CLB,45645,49491,47952,45440
2025-06-01,V-CIT-24,CH-ECM,22822,24745,23976,22720
2025-06-01,V-BER-24,CH-RET,68208,73995,71680,70188
2025-06-01,V-BER-24,CH-CLB,37204,40361,39098,38284
2025-06-01,V-BER-24,CH-ECM,18602,20180,19549,19142
2025-06-01,V-GIN-12,CH-RET,53990,58685,56807,52614
2025-06-01,V-GIN-12,CH-CLB,29449,32010,30986,28698
2025-06-01,V-GIN-12,CH-ECM,14725,16005,15493,14349
2025-06-01,V-MEL-24,CH-RET,67935,74869,72096,68112
2025-06-01,V-MEL-24,CH-CLB,37055,40838,39325,37152
2025-06-01,V-MEL-24,CH-ECM,18528,20419,19662,18576
2025-06-01,V-COC-24,CH-RET,57052,62847,60529,58666
2025-06-01,V-COC-24,CH-CLB,31119,34280,33016,32000
2025-06-01,V-COC-24,CH-ECM,15560,17140,16508,16000
2025-07-01,V-CIT-12,CH-RET,150401,166098,159819,138993
2025-07-01,V-CIT-12,CH-CLB,82037,90599,87174,75815
2025-07-01,V-CIT-12,CH-ECM,41019,45299,43587,37907
2025-07-01,V-BER-12,CH-RET,109153,120826,116157,112324
2025-07-01,V-BER-12,CH-CLB,59538,65905,63358,61268
2025-07-01,V-BER-12,CH-ECM,29769,32952,31679,30634
2025-07-01,V-TRO-12,CH-RET,75927,84731,81209,77276
2025-07-01,V-TRO-12,CH-CLB,41414,46217,44296,42150
2025-07-01,V-TRO-12,CH-ECM,20707,23108,22148,21075
2025-07-01,V-CIT-24,CH-RET,84672,94691,90683,84764
2025-07-01,V-CIT-24,CH-CLB,46185,51650,49464,46235
2025-07-01,V-CIT-24,CH-ECM,23092,25825,24732,23117
2025-07-01,V-BER-24,CH-RET,69985,76555,73927,69684
2025-07-01,V-BER-24,CH-CLB,38173,41757,40324,38009
2025-07-01,V-BER-24,CH-ECM,19087,20879,20162,19005
2025-07-01,V-GIN-12,CH-RET,54980,60370,58214,55290
2025-07-01,V-GIN-12,CH-CLB,29989,32929,31753,30158
2025-07-01,V-GIN-12,CH-ECM,14995,16464,15877,15079
2025-07-01,V-MEL-24,CH-RET,68588,74958,72410,67307
2025-07-01,V-MEL-24,CH-CLB,37412,40886,39497,36713
2025-07-01,V-MEL-24,CH-ECM,18706,20443,19748,18356
2025-07-01,V-COC-24,CH-RET,58556,65380,62651,59717
2025-07-01,V-COC-24,CH-CLB,31940,35662,34173,32573
2025-07-01,V-COC-24,CH-ECM,15970,17831,17087,16287
2025-08-01,V-CIT-12,CH-RET,146859,159568,154484,134202
2025-08-01,V-CIT-12,CH-CLB,80105,87037,84264,73201
2025-08-01,V-CIT-12,CH-ECM,40053,43519,42132,36601
2025-08-01,V-BER-12,CH-RET,104683,114743,110719,103673
2025-08-01,V-BER-12,CH-CLB,57100,62587,60392,56549
2025-08-01,V-BER-12,CH-ECM,28550,31294,30196,28275
2025-08-01,V-TRO-12,CH-RET,74329,82947,79500,73036
2025-08-01,V-TRO-12,CH-CLB,40543,45244,43364,39838
2025-08-01,V-TRO-12,CH-ECM,20271,22622,21682,19919
2025-08-01,V-CIT-24,CH-RET,81902,89271,86323,83614
2025-08-01,V-CIT-24,CH-CLB,44674,48693,47086,45608
2025-08-01,V-CIT-24,CH-ECM,22337,24347,23543,22804
2025-08-01,V-BER-24,CH-RET,67205,73941,71247,66565
2025-08-01,V-BER-24,CH-CLB,36657,40332,38862,36308
2025-08-01,V-BER-24,CH-ECM,18329,20166,19431,18154
2025-08-01,V-GIN-12,CH-RET,53501,58276,56366,54165
2025-08-01,V-GIN-12,CH-CLB,29182,31787,30745,29544
2025-08-01,V-GIN-12,CH-ECM,14591,15893,15372,14772
2025-08-01,V-MEL-24,CH-RET,65755,72520,69814,64704
2025-08-01,V-MEL-24,CH-CLB,35866,39556,38080,35293
2025-08-01,V-MEL-24,CH-ECM,17933,19778,19040,17647
2025-08-01,V-COC-24,CH-RET,56156,62501,59963,56095
2025-08-01,V-COC-24,CH-CLB,30630,34091,32707,30597
2025-08-01,V-COC-24,CH-ECM,15315,17046,16353,15299
2025-09-01,V-CIT-12,CH-RET,139568,154307,148411,129432
2025-09-01,V-CIT-12,CH-CLB,76128,84167,80952,70599
2025-09-01,V-CIT-12,CH-ECM,38064,42084,40476,35300
2025-09-01,V-BER-12,CH-RET,100121,109126,105524,98260
2025-09-01,V-BER-12,CH-CLB,54611,59523,57558,53596
2025-09-01,V-BER-12,CH-ECM,27306,29762,28779,26798
2025-09-01,V-TRO-12,CH-RET,68947,74746,72427,70106
2025-09-01,V-TRO-12,CH-CLB,37608,40771,39505,38240
2025-09-01,V-TRO-12,CH-ECM,18804,20385,19753,19120
2025-09-01,V-CIT-24,CH-RET,77658,86361,82880,78439
2025-09-01,V-CIT-24,CH-CLB,42359,47106,45207,42785
2025-09-01,V-CIT-24,CH-ECM,21180,23553,22604,21393
2025-09-01,V-BER-24,CH-RET,63711,70904,68027,62203
2025-09-01,V-BER-24,CH-CLB,34751,38675,37105,33929
2025-09-01,V-BER-24,CH-ECM,17376,19337,18553,16964
2025-09-01,V-GIN-12,CH-RET,50612,55580,53593,51181
2025-09-01,V-GIN-12,CH-CLB,27606,30316,29232,27917
2025-09-01,V-GIN-12,CH-ECM,13803,15158,14616,13958
2025-09-01,V-MEL-24,CH-RET,60936,65918,63925,61831
2025-09-01,V-MEL-24,CH-CLB,33238,35955,34868,33726
2025-09-01,V-MEL-24,CH-ECM,16619,17978,17434,16863
2025-09-01,V-COC-24,CH-RET,53096,58929,56596,52582
2025-09-01,V-COC-24,CH-CLB,28961,32143,30871,28681
2025-09-01,V-COC-24,CH-ECM,14481,16072,15435,14341
2025-10-01,V-CIT-12,CH-RET,134694,150011,143884,124104
2025-10-01,V-CIT-12,CH-CLB,73469,81824,78482,67693
2025-10-01,V-CIT-12,CH-ECM,36735,40912,39241,33847
2025-10-01,V-BER-12,CH-RET,96054,105359,101637,94778
2025-10-01,V-BER-12,CH-CLB,52393,57469,55439,51697
2025-10-01,V-BER-12,CH-ECM,26197,28734,27719,25848
2025-10-01,V-TRO-12,CH-RET,67334,73816,71223,67822
2025-10-01,V-TRO-12,CH-CLB,36728,40263,38849,36994
2025-10-01,V-TRO-12,CH-ECM,18364,20132,19425,18497
2025-10-01,V-CIT-24,CH-RET,75802,83672,80524,77849
2025-10-01,V-CIT-24,CH-CLB,41347,45639,43922,42463
2025-10-01,V-CIT-24,CH-ECM,20673,22820,21961,21232
2025-10-01,V-BER-24,CH-RET,61573,68064,65468,62787
2025-10-01,V-BER-24,CH-CLB,33585,37126,35710,34248
2025-10-01,V-BER-24,CH-ECM,16793,18563,17855,17124
2025-10-01,V-GIN-12,CH-RET,48981,54443,52258,49349
2025-10-01,V-GIN-12,CH-CLB,26717,29696,28505,26917
2025-10-01,V-GIN-12,CH-ECM,13358,14848,14252,13459
2025-10-01,V-MEL-24,CH-RET,57822,64324,61723,57427
2025-10-01,V-MEL-24,CH-CLB,31539,35086,33667,31324
2025-10-01,V-MEL-24,CH-ECM,15770,17543,16834,15662
2025-10-01,V-COC-24,CH-RET,50292,56253,53869,49208
2025-10-01,V-COC-24,CH-CLB,27432,30683,29383,26841
2025-10-01,V-COC-24,CH-ECM,13716,15342,14691,13420
2025-11-01,V-CIT-12,CH-RET,133546,144401,140059,121193
2025-11-01,V-CIT-12,CH-CLB,72843,78764,76396,66106
2025-11-01,V-CIT-12,CH-ECM,36422,39382,38198,33053
2025-11-01,V-BER-12,CH-RET,95368,106519,102059,95042
2025-11-01,V-BER-12,CH-CLB,52019,58101,55668,51841
2025-11-01,V-BER-12,CH-ECM,26009,29051,27834,25921
2025-11-01,V-TRO-12,CH-RET,65943,73671,70580,67385
2025-11-01,V-TRO-12,CH-CLB,35969,40184,38498,36756
2025-11-01,V-TRO-12,CH-ECM,17984,20092,19249,18378
2025-11-01,V-CIT-24,CH-RET,75301,83170,80023,76292
2025-11-01,V-CIT-24,CH-CLB,41073,45366,43649,41614
2025-11-01,V-CIT-24,CH-ECM,20537,22683,21824,20807
2025-11-01,V-BER-24,CH-RET,60879,66810,64437,61733
2025-11-01,V-BER-24,CH-CLB,33207,36442,35148,33673
2025-11-01,V-BER-24,CH-ECM,16603,18221,17574,16836
2025-11-01,V-GIN-12,CH-RET,48381,54059,51788,48164
2025-11-01,V-GIN-12,CH-CLB,26390,29487,28248,26271
2025-11-01,V-GIN-12,CH-ECM,13195,14743,14124,13136
2025-11-01,V-MEL-24,CH-RET,56573,62956,60402,58205
2025-11-01,V-MEL-24,CH-CLB,30858,34339,32947,31748
2025-11-01,V-MEL-24,CH-ECM,15429,17170,16473,15874
2025-11-01,V-COC-24,CH-RET,50628,56420,54103,51309
2025-11-01,V-COC-24,CH-CLB,27615,30775,29511,27987
2025-11-01,V-COC-24,CH-ECM,13808,15387,14755,13993
2025-12-01,V-CIT-12,CH-RET,144969,157790,152662,133707
2025-12-01,V-CIT-12,CH-CLB,79074,86067,83270,72931
2025-12-01,V-CIT-12,CH-ECM,39537,43034,41635,36465
2025-12-01,V-BER-12,CH-RET,104326,114969,110712,101513
2025-12-01,V-BER-12,CH-CLB,56905,62710,60388,55371
2025-12-01,V-BER-12,CH-ECM,28453,31355,30194,27685
2025-12-01,V-TRO-12,CH-RET,72215,80334,77086,73868
2025-12-01,V-TRO-12,CH-CLB,39390,43819,42047,40291
2025-12-01,V-TRO-12,CH-ECM,19695,21909,21024,20146
2025-12-01,V-CIT-24,CH-RET,80625,89754,86102,80857
2025-12-01,V-CIT-24,CH-CLB,43977,48957,46965,44104
2025-12-01,V-CIT-24,CH-ECM,21989,24478,23482,22052
2025-12-01,V-BER-24,CH-RET,65921,71907,69513,67140
2025-12-01,V-BER-24,CH-CLB,35957,39222,37916,36622
2025-12-01,V-BER-24,CH-ECM,17979,19611,18958,18311
2025-12-01,V-GIN-12,CH-RET,51958,57461,55260,53231
2025-12-01,V-GIN-12,CH-CLB,28341,31342,30142,29035
2025-12-01,V-GIN-12,CH-ECM,14170,15671,15071,14518
2025-12-01,V-MEL-24,CH-RET,59853,64730,62779,59861
2025-12-01,V-MEL-24,CH-CLB,32647,35307,34243,32652
2025-12-01,V-MEL-24,CH-ECM,16324,17654,17122,16326
2025-12-01,V-COC-24,CH-RET,54334,60783,58203,55327
2025-12-01,V-COC-24,CH-CLB,29637,33154,31747,30178
2025-12-01,V-COC-24,CH-ECM,14818,16577,15874,15089
2026-01-01,V-CIT-12,CH-RET,135390,147926,142911,122200
2026-01-01,V-CIT-12,CH-CLB,73849,80687,77952,66655
2026-01-01,V-CIT-12,CH-ECM,36925,40343,38976,33327
2026-01-01,V-BER-12,CH-RET,96159,107068,102704,98865
2026-01-01,V-BER-12,CH-CLB,52450,58400,56020,53926
2026-01-01,V-BER-12,CH-ECM,26225,29200,28010,26963
2026-01-01,V-TRO-12,CH-RET,64926,72033,69190,64272
2026-01-01,V-TRO-12,CH-CLB,35414,39291,37740,35058
2026-01-01,V-TRO-12,CH-ECM,17707,19645,18870,17529
2026-01-01,V-CIT-24,CH-RET,74577,82761,79488,74464
2026-01-01,V-CIT-24,CH-CLB,40678,45143,43357,40617
2026-01-01,V-CIT-24,CH-ECM,20339,22571,21678,20308
2026-01-01,V-BER-24,CH-RET,59895,65845,63465,59663
2026-01-01,V-BER-24,CH-CLB,32670,35915,34617,32544
2026-01-01,V-BER-24,CH-ECM,16335,17958,17309,16272
2026-01-01,V-GIN-12,CH-RET,47841,51805,50220,46882
2026-01-01,V-GIN-12,CH-CLB,26095,28257,27393,25572
2026-01-01,V-GIN-12,CH-ECM,13048,14129,13696,12786
2026-01-01,V-MEL-24,CH-RET,54147,60362,57876,55362
2026-01-01,V-MEL-24,CH-CLB,29535,32925,31569,30198
2026-01-01,V-MEL-24,CH-ECM,14767,16462,15784,15099
2026-01-01,V-COC-24,CH-RET,48983,54451,52264,47555
2026-01-01,V-COC-24,CH-CLB,26718,29701,28508,25939
2026-01-01,V-COC-24,CH-ECM,13359,14850,14254,12969
2026-02-01,V-CIT-12,CH-RET,135570,151375,145053,125640
2026-02-01,V-CIT-12,CH-CLB,73947,82568,79120,68531
2026-02-01,V-CIT-12,CH-ECM,36974,41284,39560,34266
2026-02-01,V-BER-12,CH-RET,96712,107732,103324,94776
2026-02-01,V-BER-12,CH-CLB,52752,58763,56359,51696
2026-02-01,V-BER-12,CH-ECM,26376,29382,28179,25848
2026-02-01,V-TRO-12,CH-RET,66383,73824,70848,67833
2026-02-01,V-TRO-12,CH-CLB,36209,40268,38644,37000
2026-02-01,V-TRO-12,CH-ECM,18105,20134,19322,18500
2026-02-01,V-CIT-24,CH-RET,74049,80705,78043,74661
2026-02-01,V-CIT-24,CH-CLB,40390,44021,42569,40724
2026-02-01,V-CIT-24,CH-ECM,20195,22011,21284,20362
2026-02-01,V-BER-24,CH-RET,60371,65848,63657,61645
2026-02-01,V-BER-24,CH-CLB,32929,35917,34722,33624
2026-02-01,V-BER-24,CH-ECM,16465,17959,17361,16812
2026-02-01,V-GIN-12,CH-RET,47503,52726,50637,47700
2026-02-01,V-GIN-12,CH-CLB,25911,28760,27620,26018
2026-02-01,V-GIN-12,CH-ECM,12955,14380,13810,13009
2026-02-01,V-MEL-24,CH-RET,53413,58809,56651,53275
2026-02-01,V-MEL-24,CH-CLB,29134,32078,30900,29059
2026-02-01,V-MEL-24,CH-ECM,14567,16039,15450,14529
2026-02-01,V-COC-24,CH-RET,49151,53977,52047,49661
2026-02-01,V-COC-24,CH-CLB,26810,29442,28389,27088
2026-02-01,V-COC-24,CH-ECM,13405,14721,14195,13544
2026-03-01,V-CIT-12,CH-RET,143971,156909,151734,134298
2026-03-01,V-CIT-12,CH-CLB,78530,85587,82764,73254
2026-03-01,V-CIT-12,CH-ECM,39265,42793,41382,36627
2026-03-01,V-BER-12,CH-RET,101694,110699,107097,101090
2026-03-01,V-BER-12,CH-CLB,55469,60381,58417,55140
2026-03-01,V-BER-12,CH-ECM,27735,30191,29208,27570
2026-03-01,V-TRO-12,CH-RET,70032,76382,73842,71240
2026-03-01,V-TRO-12,CH-CLB,38199,41663,40277,38858
2026-03-01,V-TRO-12,CH-ECM,19100,20831,20139,19429
2026-03-01,V-CIT-24,CH-RET,79227,87218,84022,79830
2026-03-01,V-CIT-24,CH-CLB,43215,47573,45830,43544
2026-03-01,V-CIT-24,CH-ECM,21607,23787,22915,21772
2026-03-01,V-BER-24,CH-RET,63968,69307,67171,65432
2026-03-01,V-BER-24,CH-CLB,34891,37804,36639,35690
2026-03-01,V-BER-24,CH-ECM,17446,18902,18319,17845
2026-03-01,V-GIN-12,CH-RET,50174,54438,52733,50742
2026-03-01,V-GIN-12,CH-CLB,27368,29693,28763,27678
2026-03-01,V-GIN-12,CH-ECM,13684,14847,14382,13839
2026-03-01,V-MEL-24,CH-RET,55972,61368,59210,56492
2026-03-01,V-MEL-24,CH-CLB,30530,33473,32296,30814
2026-03-01,V-MEL-24,CH-ECM,15265,16737,16148,15407
2026-03-01,V-COC-24,CH-RET,51906,57272,55125,52910
2026-03-01,V-COC-24,CH-CLB,28312,31239,30068,28860
2026-03-01,V-COC-24,CH-ECM,14156,15620,15034,14430
2026-04-01,V-CIT-12,CH-RET,149956,165459,159257,140018
2026-04-01,V-CIT-12,CH-CLB,81794,90250,86868,76374
2026-04-01,V-CIT-12,CH-ECM,40897,45125,43434,38187
2026-04-01,V-BER-12,CH-RET,104629,114586,110603,107676
2026-04-01,V-BER-12,CH-CLB,57071,62501,60329,58732
2026-04-01,V-BER-12,CH-ECM,28535,31251,30165,29366
2026-04-01,V-TRO-12,CH-RET,71436,79643,76361,72973
2026-04-01,V-TRO-12,CH-CLB,38965,43442,41651,39804
2026-04-01,V-TRO-12,CH-ECM,19483,21721,20826,19902
2026-04-01,V-CIT-24,CH-RET,81288,88043,85341,80243
2026-04-01,V-CIT-24,CH-CLB,44339,48023,46549,43769
2026-04-01,V-CIT-24,CH-ECM,22169,24012,23275,21884
2026-04-01,V-BER-24,CH-RET,65403,71851,69272,65836
2026-04-01,V-BER-24,CH-CLB,35674,39191,37785,35911
2026-04-01,V-BER-24,CH-ECM,17837,19596,18892,17955
2026-04-01,V-GIN-12,CH-RET,52292,58448,55985,52294
2026-04-01,V-GIN-12,CH-CLB,28523,31880,30538,28524
2026-04-01,V-GIN-12,CH-ECM,14262,15940,15269,14262
2026-04-01,V-MEL-24,CH-RET,56412,61984,59755,58000
2026-04-01,V-MEL-24,CH-CLB,30770,33810,32594,31636
2026-04-01,V-MEL-24,CH-ECM,15385,16905,16297,15818
2026-04-01,V-COC-24,CH-RET,53764,58298,56485,52906
2026-04-01,V-COC-24,CH-CLB,29326,31799,30810,28858
2026-04-01,V-COC-24,CH-ECM,14663,15900,15405,14429
2026-05-01,V-CIT-12,CH-RET,157980,172004,166395,143830
2026-05-01,V-CIT-12,CH-CLB,86171,93820,90761,78452
2026-05-01,V-CIT-12,CH-ECM,43085,46910,45380,39226
2026-05-01,V-BER-12,CH-RET,109973,122219,117321,109676
2026-05-01,V-BER-12,CH-CLB,59985,66665,63993,59823
2026-05-01,V-BER-12,CH-ECM,29993,33333,31997,29912
2026-05-01,V-TRO-12,CH-RET,74712,83129,79762,74534
2026-05-01,V-TRO-12,CH-CLB,40752,45343,43507,40655
2026-05-01,V-TRO-12,CH-ECM,20376,22672,21753,20327
2026-05-01,V-CIT-24,CH-RET,84948,92830,89677,85153
2026-05-01,V-CIT-24,CH-CLB,46335,50635,48915,46447
2026-05-01,V-CIT-24,CH-ECM,23168,25317,24457,23223
2026-05-01,V-BER-24,CH-RET,68430,73983,71762,69871
2026-05-01,V-BER-24,CH-CLB,37326,40354,39143,38111
2026-05-01,V-BER-24,CH-ECM,18663,20177,19571,19056
2026-05-01,V-GIN-12,CH-RET,54297,58816,57008,52798
2026-05-01,V-GIN-12,CH-CLB,29617,32081,31095,28799
2026-05-01,V-GIN-12,CH-ECM,14808,16041,15548,14400
2026-05-01,V-MEL-24,CH-RET,58218,64489,61980,58741
2026-05-01,V-MEL-24,CH-CLB,31755,35176,33807,32041
2026-05-01,V-MEL-24,CH-ECM,15878,17588,16904,16020
2026-05-01,V-COC-24,CH-RET,54859,61188,58656,55061
2026-05-01,V-COC-24,CH-CLB,29923,33375,31994,30033
2026-05-01,V-COC-24,CH-ECM,14962,16688,15997,15017
2026-06-01,V-CIT-12,CH-RET,166107,180000,174443,155033
2026-06-01,V-CIT-12,CH-CLB,90604,98182,95151,84564
2026-06-01,V-CIT-12,CH-ECM,45302,49091,47575,42282
2026-06-01,V-BER-12,CH-RET,115310,128950,123494,118737
2026-06-01,V-BER-12,CH-CLB,62896,70336,67360,64766
2026-06-01,V-BER-12,CH-ECM,31448,35168,33680,32383
2026-06-01,V-TRO-12,CH-RET,77977,86696,83208,76702
2026-06-01,V-TRO-12,CH-CLB,42533,47289,45386,41838
2026-06-01,V-TRO-12,CH-ECM,21266,23644,22693,20919
2026-06-01,V-CIT-24,CH-RET,88415,96306,93149,89443
2026-06-01,V-CIT-24,CH-CLB,48226,52530,50809,48787
2026-06-01,V-CIT-24,CH-ECM,24113,26265,25404,24394
2026-06-01,V-BER-24,CH-RET,71020,77304,74790,72289
2026-06-01,V-BER-24,CH-CLB,38738,42166,40795,39430
2026-06-01,V-BER-24,CH-ECM,19369,21083,20397,19715
2026-06-01,V-GIN-12,CH-RET,56461,61706,59608,55615
2026-06-01,V-GIN-12,CH-CLB,30797,33658,32513,30336
2026-06-01,V-GIN-12,CH-ECM,15398,16829,16257,15168
2026-06-01,V-MEL-24,CH-RET,60390,67280,64524,61692
2026-06-01,V-MEL-24,CH-CLB,32940,36698,35195,33650
2026-06-01,V-MEL-24,CH-ECM,16470,18349,17598,16825
2026-06-01,V-COC-24,CH-RET,57952,63102,61042,56434
2026-06-01,V-COC-24,CH-CLB,31610,34419,33296,30782
2026-06-01,V-COC-24,CH-ECM,15805,17210,16648,15391
2026-07-01,V-CIT-12,CH-RET,169617,187443,180313,158227
2026-07-01,V-CIT-12,CH-CLB,92518,102242,98352,86306
2026-07-01,V-CIT-12,CH-ECM,46259,51121,49176,43153
2026-07-01,V-BER-12,CH-RET,118567,131459,126302,116111
2026-07-01,V-BER-12,CH-CLB,64673,71705,68892,63333
2026-07-01,V-BER-12,CH-ECM,32336,35853,34446,31667
2026-07-01,V-TRO-12,CH-RET,79267,86221,83440,78451
2026-07-01,V-TRO-12,CH-CLB,43237,47030,45513,42791
2026-07-01,V-TRO-12,CH-ECM,21618,23515,22756,21396
2026-07-01,V-CIT-24,CH-RET,91567,99128,96103,91059
2026-07-01,V-CIT-24,CH-CLB,49946,54070,52420,49669
2026-07-01,V-CIT-24,CH-ECM,24973,27035,26210,24834
2026-07-01,V-BER-24,CH-RET,72837,81229,77872,73717
2026-07-01,V-BER-24,CH-CLB,39729,44307,42476,40209
2026-07-01,V-BER-24,CH-ECM,19865,22153,21238,20105
2026-07-01,V-GIN-12,CH-RET,57282,64069,61354,58437
2026-07-01,V-GIN-12,CH-CLB,31245,34947,33466,31875
2026-07-01,V-GIN-12,CH-ECM,15622,17473,16733,15937
2026-07-01,V-MEL-24,CH-RET,60267,65851,63618,61058
2026-07-01,V-MEL-24,CH-CLB,32873,35919,34700,33304
2026-07-01,V-MEL-24,CH-ECM,16436,17959,17350,16652
2026-07-01,V-COC-24,CH-RET,58899,65753,63012,58200
2026-07-01,V-COC-24,CH-CLB,32127,35866,34370,31745
2026-07-01,V-COC-24,CH-ECM,16063,17933,17185,15873
2026-08-01,V-CIT-12,CH-RET,166396,180131,174637,151322
2026-08-01,V-CIT-12,CH-CLB,90762,98253,95257,82539
2026-08-01,V-CIT-12,CH-ECM,45381,49127,47628,41270
2026-08-01,V-BER-12,CH-RET,114560,128164,122723,115104
2026-08-01,V-BER-12,CH-CLB,62487,69908,66940,62784
2026-08-01,V-BER-12,CH-ECM,31244,34954,33470,31392
2026-08-01,V-TRO-12,CH-RET,78051,87313,83608,77016
2026-08-01,V-TRO-12,CH-CLB,42573,47625,45605,42009
2026-08-01,V-TRO-12,CH-ECM,21287,23813,22802,21004
2026-08-01,V-CIT-24,CH-RET,88506,97059,93638,86950
2026-08-01,V-CIT-24,CH-CLB,48276,52941,51075,47427
2026-08-01,V-CIT-24,CH-ECM,24138,26471,25538,23714
2026-08-01,V-BER-24,CH-RET,70432,76095,73829,72325
2026-08-01,V-BER-24,CH-CLB,38417,41506,40271,39450
2026-08-01,V-BER-24,CH-ECM,19209,20753,20135,19725
2026-08-01,V-GIN-12,CH-RET,55958,62563,59921,57635
2026-08-01,V-GIN-12,CH-CLB,30522,34125,32684,31437
2026-08-01,V-GIN-12,CH-ECM,15261,17063,16342,15719
2026-08-01,V-MEL-24,CH-RET,57936,64592,61930,56323
2026-08-01,V-MEL-24,CH-CLB,31601,35232,33780,30721
2026-08-01,V-MEL-24,CH-ECM,15801,17616,16890,15361
2026-08-01,V-COC-24,CH-RET,56327,61148,59219,57835
2026-08-01,V-COC-24,CH-CLB,30724,33353,32301,31546
2026-08-01,V-COC-24,CH-ECM,15362,16677,16151,15773
2026-09-01,V-CIT-12,CH-RET,159129,175227,168788,
2026-09-01,V-CIT-12,CH-CLB,86797,95578,92066,
2026-09-01,V-CIT-12,CH-ECM,43399,47789,46033,
2026-09-01,V-BER-12,CH-RET,108439,120359,115591,
2026-09-01,V-BER-12,CH-CLB,59149,65650,63050,
2026-09-01,V-BER-12,CH-ECM,29574,32825,31525,
2026-09-01,V-TRO-12,CH-RET,72965,79969,77167,
2026-09-01,V-TRO-12,CH-CLB,39799,43619,42091,
2026-09-01,V-TRO-12,CH-ECM,19900,21810,21046,
2026-09-01,V-CIT-24,CH-RET,83034,92682,88823,
2026-09-01,V-CIT-24,CH-CLB,45291,50554,48449,
2026-09-01,V-CIT-24,CH-ECM,22646,25277,24224,
2026-09-01,V-BER-24,CH-RET,65882,73050,70182,
2026-09-01,V-BER-24,CH-CLB,35935,39845,38281,
2026-09-01,V-BER-24,CH-ECM,17968,19923,19141,
2026-09-01,V-GIN-12,CH-RET,52604,57379,55469,
2026-09-01,V-GIN-12,CH-CLB,28693,31298,30256,
2026-09-01,V-GIN-12,CH-ECM,14347,15649,15128,
2026-09-01,V-MEL-24,CH-RET,52870,58434,56208,
2026-09-01,V-MEL-24,CH-CLB,28838,31873,30659,
2026-09-01,V-MEL-24,CH-ECM,14419,15937,15330,
2026-09-01,V-COC-24,CH-RET,52566,57807,55711,
2026-09-01,V-COC-24,CH-CLB,28672,31531,30388,
2026-09-01,V-COC-24,CH-ECM,14336,15766,15194,
2026-10-01,V-CIT-12,CH-RET,154090,241408,228310,
2026-10-01,V-CIT-12,CH-CLB,84049,131677,124533,
2026-10-01,V-CIT-12,CH-ECM,42025,65839,62266,
2026-10-01,V-BER-12,CH-RET,104983,167465,158093,
2026-10-01,V-BER-12,CH-CLB,57264,91345,86233,
2026-10-01,V-BER-12,CH-ECM,28632,45672,43116,
2026-10-01,V-TRO-12,CH-RET,70213,78468,75166,
2026-10-01,V-TRO-12,CH-CLB,38298,42801,41000,
2026-10-01,V-TRO-12,CH-ECM,19149,21400,20500,
2026-10-01,V-CIT-24,CH-RET,80639,130288,122840,
2026-10-01,V-CIT-24,CH-CLB,43985,71066,67004,
2026-10-01,V-CIT-24,CH-ECM,21992,35533,33502,
2026-10-01,V-BER-24,CH-RET,64392,103417,97563,
2026-10-01,V-BER-24,CH-CLB,35123,56409,53216,
2026-10-01,V-BER-24,CH-ECM,17561,28205,26608,
2026-10-01,V-GIN-12,CH-RET,50771,55788,53781,
2026-10-01,V-GIN-12,CH-CLB,27693,30430,29335,
2026-10-01,V-GIN-12,CH-ECM,13847,15215,14668,
2026-10-01,V-MEL-24,CH-RET,51179,56802,54553,
2026-10-01,V-MEL-24,CH-CLB,27916,30983,29756,
2026-10-01,V-MEL-24,CH-ECM,13958,15492,14878,
2026-10-01,V-COC-24,CH-RET,51075,55438,53693,
2026-10-01,V-COC-24,CH-CLB,27859,30239,29287,
2026-10-01,V-COC-24,CH-ECM,13930,15120,14644,
2026-11-01,V-CIT-12,CH-RET,153628,245366,231605,
2026-11-01,V-CIT-12,CH-CLB,83797,133836,126330,
2026-11-01,V-CIT-12,CH-ECM,41898,66918,63165,
2026-11-01,V-BER-12,CH-RET,103758,168267,158591,
2026-11-01,V-BER-12,CH-CLB,56595,91782,86504,
2026-11-01,V-BER-12,CH-ECM,28298,45891,43252,
2026-11-01,V-TRO-12,CH-RET,70378,76511,74057,
2026-11-01,V-TRO-12,CH-CLB,38388,41733,40395,
2026-11-01,V-TRO-12,CH-ECM,19194,20867,20197,
2026-11-01,V-CIT-24,CH-RET,79755,124924,118148,
2026-11-01,V-CIT-24,CH-CLB,43503,68140,64445,
2026-11-01,V-CIT-24,CH-ECM,21751,34070,32222,
2026-11-01,V-BER-24,CH-RET,63647,102599,96756,
2026-11-01,V-BER-24,CH-CLB,34717,55963,52776,
2026-11-01,V-BER-24,CH-ECM,17358,27981,26388,
2026-11-01,V-GIN-12,CH-RET,50572,54985,53220,
2026-11-01,V-GIN-12,CH-CLB,27585,29992,29029,
2026-11-01,V-GIN-12,CH-ECM,13792,14996,14515,
2026-11-01,V-MEL-24,CH-RET,49223,54408,52334,
2026-11-01,V-MEL-24,CH-CLB,26849,29677,28546,
2026-11-01,V-MEL-24,CH-ECM,13424,14839,14273,
2026-11-01,V-COC-24,CH-RET,50331,55854,53645,
2026-11-01,V-COC-24,CH-CLB,27453,30466,29261,
2026-11-01,V-COC-24,CH-ECM,13727,15233,14630,
